Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
1813,20000,MULTISTRADA 1260 PIKES PEAK,Ducatti Sport Touring,2019
4872,7999,HYPERSTRADA 939,Ducatti Standard,2016
3794,16999,XDIAVEL S,Ducatti Sportbike,2016
1887,22000,PANIGALE 1299 S,Ducatti Sportbike,2016
1036,18200,PANIGALE 1199 S,Ducatti Custom,2014
3,13195,MONSTER PLUS,Ducatti Sportbike,2023
1519,22495,DIAVEL 1260 S BLACK AND STEEL,Ducatti Sportbike,2022
698,21999,STREETFIGHTER V4 S DUCATI RED,Ducatti Sportbike,2021
3388,12888,SUPERSPORT - BASE,Ducatti Sportbike,2020
4136,52999,900 SS,Ducatti Custom,1980
2,10195,SCRAMBLER ICON,Ducatti Sportbike,2023
0,7500,MONSTER 797,Ducatti Sportbike,2017
3697,11495,MULTISTRADA 1200 S TOURING,Ducatti Dual Sport,2016
10340,10999,MULTISTRADA 1200 S,Ducatti Sport Touring,2016
6245,14450,XDIAVEL S,Ducatti Cruiser,2016
16587,8900,MONSTER 1200 S,Ducatti Sportbike,2014
3790,8250,HYPERMOTARD SP,Ducatti Sportbike,2013
12110,14000,PANIGALE 1199 S,Ducatti Sportbike,2013
1678,21500,1098R,Ducatti Sportbike,2008
7456,6000,MONSTER 695,Ducatti Sportbike,2007
0,18295,DESERTX RR22 BASE,Ducatti Dual Sport,2023
0,28295,MULTISTRADA V4S TRAVEL & RADAR - WHITE/SPOKE WHEEL V4 S,Ducatti Sport Touring,2023
1,17095,DESERTX,Ducatti Sportbike,2023
270,32995,STREETFIGHTER V4 SP,Ducatti Sportbike,2022
3,25695,STREETFIGHTER V4S,Ducatti Standard,2022
1581,13999,DIAVEL,Ducatti Sportbike,2018
15647,10999,MULTISTRADA 1200 S,Ducatti Standard,2015
6971,19500,PANIGALE 1299 S,Ducatti Sportbike,2015
3295,12999,1098 S,Ducatti Sportbike,2008
528,25000,HYPERMOTARD 950 SP,Ducatti Super Moto,2023
190,13899,MONSTER + DARK STEALTH 821 STEALTH,Ducatti Sportbike,2023
603,19750,DIAVEL 1260,Ducatti Sport Touring,2022
1140,33999,STREETFIGHTER V4 SP WINTER TEST,Ducatti Sportbike,2022
3475,20995,MULTISTRADA V4S DUCATI RED / SPOKED WHEELS 950 S SPOKED WHEELS,Ducatti Sportbike,2022
3060,16297,MONSTER 1200 S BLACK ON BLACK,Ducatti Sportbike,2020
399,17995,X DIAVEL S WHITE,Ducatti Sportbike,2019
135,21800,MONSTER 1200 S,Ducatti Sportbike,2019
1459,8950,SCRAMBLER ICON,Ducatti Standard,2018
0,10950,SCRAMBLER FULL THROTTLE,Ducatti Dual Sport,2016
1367,13000,DIAVEL CARBON,Ducatti Cruiser,2012
15259,7995,STREETFIGHTER,Ducatti Sportbike,2010
6338,7500,ST 4S ABS,Ducatti Sport Touring,2004
19497,7995,MONSTER 900,Ducatti Custom,2000
167,24795,STREETFIGHTER V2 STORM GREEN,Ducatti Sportbike,2023
1,26995,DIAVEL V4 THRILLING BLACK BASE,Ducatti Sportbike,2023
33,12995,SCRAMBLER 1100 TRIBUTE PRO GIALLO OCRA 1100 PRO,Ducatti Standard,2022
3617,19799,DIAVEL 1260 S DUCATI RED,Ducatti Sportbike,2021
3490,7994,SCRAMBLER,Ducatti Standard,2019
1598,13850,HYPERMOTARD 950 SP,Ducatti Super Moto,2019
5751,19988,MULTISTRADA 1260 PIKES PEAK,Ducatti Sport Touring,2018
1118,9350,SCRAMBLER FULL THROTTLE,Ducatti Standard,2016
4909,11900,PANIGALE 899,Ducatti Sportbike,2015
7873,10290,MONSTER 1200 S RED,Ducatti Sportbike,2015
10004,10000,MONSTER DIESEL,Ducatti Sportbike,2013
2906,11000,1198 1198,Ducatti Sportbike,2011
6342,12000,1198 1198,Ducatti Sportbike,2009
2,27795,MULTISTRADA V4 S,Ducatti Dual Sport,2023
0,13895,SCRAMBLER 1100 DARK PRO 1100 PRO,Ducatti Standard,2023
3,18295,DESERT X RR BASE,Ducatti Dual Sport,2023
1,31595,MULTISTRADA V4 PIKES PEAK LIVERY,Ducatti Sportbike,2023
839,23000,XDIAVEL S,Ducatti Standard,2022
456,13500,SCRAMBLER DESERT SLED FASTHOUSE,Ducatti Dual Sport,2022
91,20995,PANIGALE V2 BAYLISS 1ST CHAMPIONSHIP 20TH ANNIVERSARY,Ducatti Sportbike,2022
1993,24994,MULTISTRADA V4 S,Ducatti Sport Touring,2021
2174,10328,SCRAMBLER DESERT SLED,Ducatti Standard,2019
2345,14500,MONSTER 1200 S,Ducatti Sportbike,2018
