Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
1830,6499,FZ-07 ABS,Yamaha Sportbike,2017
11098,5000,STRYKER,Yamaha Cruiser,2012
3866,11000,TENERE,Yamaha Dual Sport,2012
8929,4250,V STAR 950 TOURER,Yamaha Cruiser,2009
0,9199,YZF-R7,Yamaha Sportbike,2023
2,11499,MT-09,Yamaha Sportbike,2023
0,7999,YZ250X,Yamaha Dirt Bike,2023
2,3799,ZUMA 125,Yamaha Standard,2023
0,7999,YZ250X,Yamaha Dirt Bike,2023
1,9199,YZF-R7,Yamaha Sportbike,2023
0,5499,YZF-R3 ABS,Yamaha Sportbike,2023
0,5499,YZF-R3 ABS,Yamaha Sportbike,2023
0,14199,MT-10,Yamaha Sportbike,2023
3,9199,YZF-R7,Yamaha Dirt Bike,2023
0,13999,MT-10,Yamaha Sportbike,2022
0,4699,YZ65,Yamaha Mx,2022
0,8799,YZ450F MONSTER ENERGY YAMAHA RACING EDITION,Yamaha Mx,2022
0,5499,YZF-R3 WORLD GP 60TH ANNIVERSARY EDITION,Yamaha Sportbike,2022
941,9499,MT-09,Yamaha Sportbike,2022
22,11000,XSR 900,Yamaha Custom,2022
772,10199,XSR900,Yamaha Sportbike,2021
0,7490,MT07,Yamaha Standard,2019
16583,8795,FZ-10,Yamaha Sportbike,2017
1038,5999,BOLT C-SPEC,Yamaha Cruiser,2015
16148,7966,RAIDER® SCL,Yamaha Cruiser,2013
11433,3499,V STAR 650 CLASSIC,Yamaha Cruiser,2002
0,9199,YZF-R7,Yamaha Sportbike,2023
0,7799,YZ450F,Yamaha Dirt Bike,2022
0,8999,YZF-R7,Yamaha Sportbike,2022
0,3849,TT-R230,Yamaha Dirt Bike,2022
1829,16250,FJR 1300 ES,Yamaha Sport Touring,2020
51,8300,450,Yamaha Dirt Bike,2020
3728,10000,XSR 900,Yamaha Standard,2019
11009,7496,FJ-09,Yamaha Sport Touring,2017
0,6000,FZ-07 ABS,Yamaha Standard,2015
