Mileage_km,Price_$,Bike ,Type_of_Bike,Used_Time
8," 13,195 ",MONSTER PLUS,Ducati Sportbike,2023
3935," 22,495 ",DIAVEL 1260 S BLACK AND STEEL,Ducati Sportbike,2022
1809," 21,999 ",STREETFIGHTER V4 S DUCATI RED,Ducati Sportbike,2021
8774," 12,888 ",SUPERSPORT - BASE,Ducati Sportbike,2020
10712," 52,999 ",900 SS,Ducati Custom,1980
5," 10,195 ",SCRAMBLER ICON,Ducati Sportbike,2023
9576," 11,495 ",MULTISTRADA 1200 S TOURING,Ducati Dual Sport,2016
26779," 10,999 ",MULTISTRADA 1200 S,Ducati Sport Touring,2016
16174," 14,450 ",XDIAVEL S,Ducati Cruiser,2016
42960," 8,900 ",MONSTER 1200 S,Ducati Sportbike,2014
9817," 8,250 ",HYPERMOTARD SP,Ducati Sportbike,2013
31365," 14,000 ",PANIGALE 1199 S,Ducati Sportbike,2013
4345," 21,500 ",1098R,Ducati Sportbike,2008
19312," 6,000 ",MONSTER 695,Ducati Sportbike,2007
2," 17,095 ",DESERTX,Ducati Sportbike,2023
698," 32,995 ",STREETFIGHTER V4 SP,Ducati Sportbike,2022
8," 25,695 ",STREETFIGHTER V4S,Ducati Standard,2022
4096," 13,999 ",DIAVEL,Ducati Sportbike,2018
40525," 10,999 ",MULTISTRADA 1200 S,Ducati Standard,2015
18054," 19,500 ",PANIGALE 1299 S,Ducati Sportbike,2015
8533," 12,999 ",1098 S,Ducati Sportbike,2008
1368," 25,000 ",HYPERMOTARD 950 SP,Ducati Super Moto,2023
491," 13,899 ",MONSTER + DARK STEALTH 821 STEALTH,Ducati Sportbike,2023
1561," 19,750 ",DIAVEL 1260,Ducati Sport Touring,2022
2953," 33,999 ",STREETFIGHTER V4 SP WINTER TEST,Ducati Sportbike,2022
8999," 20,995 ",MULTISTRADA V4S DUCATI RED / SPOKED WHEELS 950 S SPOKED WHEELS,Ducati Sportbike,2022
7926," 16,297 ",MONSTER 1200 S BLACK ON BLACK,Ducati Sportbike,2020
1033," 17,995 ",X DIAVEL S WHITE,Ducati Sportbike,2019
349," 21,800 ",MONSTER 1200 S,Ducati Sportbike,2019
3779," 8,950 ",SCRAMBLER ICON,Ducati Standard,2018
3541," 13,000 ",DIAVEL CARBON,Ducati Cruiser,2012
39521," 7,995 ",STREETFIGHTER,Ducati Sportbike,2010
16415," 7,500 ",ST 4S ABS,Ducati Sport Touring,2004
50498," 7,995 ",MONSTER 900,Ducati Custom,2000
433," 24,795 ",STREETFIGHTER V2 STORM GREEN,Ducati Sportbike,2023
2," 26,995 ",DIAVEL V4 THRILLING BLACK BASE,Ducati Sportbike,2023
85," 12,995 ",SCRAMBLER 1100 TRIBUTE PRO GIALLO OCRA 1100 PRO,Ducati Standard,2022
9368," 19,799 ",DIAVEL 1260 S DUCATI RED,Ducati Sportbike,2021
9038," 7,994 ",SCRAMBLER,Ducati Standard,2019
4139," 13,850 ",HYPERMOTARD 950 SP,Ducati Super Moto,2019
14894," 19,988 ",MULTISTRADA 1260 PIKES PEAK,Ducati Sport Touring,2018
2897," 9,350 ",SCRAMBLER FULL THROTTLE,Ducati Standard,2016
12714," 11,900 ",PANIGALE 899,Ducati Sportbike,2015
20392," 10,290 ",MONSTER 1200 S RED,Ducati Sportbike,2015
25910," 10,000 ",MONSTER DIESEL,Ducati Sportbike,2013
7527," 11,000 ",1198 1198,Ducati Sportbike,2011
16427," 12,000 ",1198 1198,Ducati Sportbike,2009
5," 27,795 ",MULTISTRADA V4 S,Ducati Dual Sport,2023
8," 18,295 ",DESERT X RR BASE,Ducati Dual Sport,2023
2," 31,595 ",MULTISTRADA V4 PIKES PEAK LIVERY,Ducati Sportbike,2023
2173," 23,000 ",XDIAVEL S,Ducati Standard,2022
1181," 13,500 ",SCRAMBLER DESERT SLED FASTHOUSE,Ducati Dual Sport,2022
237," 20,995 ",PANIGALE V2 BAYLISS 1ST CHAMPIONSHIP 20TH ANNIVERSARY,Ducati Sportbike,2022
5163," 24,994 ",MULTISTRADA V4 S,Ducati Sport Touring,2021
5631," 10,328 ",SCRAMBLER DESERT SLED,Ducati Standard,2019
6074," 14,500 ",MONSTER 1200 S,Ducati Sportbike,2018
7257," 10,495 ",SUPERSPORT BASE,Ducati Sport Touring,2017
6436," 21,999 ",PANIGALE 1299 S ANNIVERSARIO,Ducati Sportbike,2017
11265," 9,500 ",HYPERSTRADA 939,Ducati Sport Touring,2016
25365," 9,995 ",899 PANIGALE RED,Ducati Sportbike,2015
6228," 6,250 ",SCRAMBLER ICON,Ducati Sportbike,2015
12526," 11,500 ",DIAVEL CARBON,Ducati Sport Touring,2015
18717," 6,495 ",MONSTER 696,Ducati Standard,2014
63065," 6,800 ",MULTISTRADA 1200 S TOURING,Ducati Sport Touring,2013
13902," 8,999 ",749 BASE,Ducati Sportbike,2006
5," 22,395 ",PANIGALE V2 BAYLISS 1ST CHAMPIONSHIP 20TH ANNIVERSARY,Ducati Standard,2023
2," 11,695 ",SCRAMBLER URBAN MOTARD STAR WHITE SILK AND DUCATI GP,Ducati Standard,2022
2," 11,695 ",SCRAMBLER URBAN MOTARD STAR WHITE SILK AND DUCATI GP,Ducati Standard,2022
18718," 7,199 ",SCRAMBLER ICON DARK,Ducati Standard,2021
3697," 11,950 ",MONSTER 821,Ducati Sportbike,2020
8655," 9,390 ",MONSTER 821,Ducati Sportbike,2020
1535," 18,999 ",DIAVEL 1260 S,Ducati Sportbike,2020
10115," 23,000 ",PANIGALE V4,Ducati Sportbike,2019
20600," 13,995 ",1299 PANIGALE S RED,Ducati Sportbike,2015
