Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
39263,"6,950",YZF-R6S,Yamaha Sportbike,2009
44761,"5,999",STRATOLINER,Yamaha Cruiser,2018
26731,"8,000",GTS1000,Yamaha Classic / Vintage,1993
110029,"7,200",XS1100,Yamaha Classic / Vintage,1979
2,"10,499",TENERE 700 700,Yamaha Dirt Bike,2023
2,"3,799",ZUMA 125,Yamaha Moped,2023
2,"9,799",MT-09,Yamaha Standard,2023
2,"14,999",TRACER 9 GT,Yamaha Standard,2022
9656,"5,390",YZF R3,Yamaha Sportbike,2022
4023,"4,850",YZF R3,Yamaha Sportbike,2016
3660,"6,995",V STAR 950 BASE,Yamaha Cruiser,2012
69823,"4,500",V STAR 950 TOURER,Yamaha Touring,2010
1040,"8,495",MT-07,Yamaha Standard,2021
1279,"14,995",YZF R6,Yamaha Sportbike,2020
1609,"13,500",YZF R6,Yamaha Sportbike,2020
4300,"8,995",MT 07,Yamaha Sport Touring,2019
13324,"9,995",YZF-R6,Yamaha Sportbike,2015
15669,"12,991",YZF-R1,Yamaha Sportbike,2014
18065,"9,290",ROADLINER® S,Yamaha Cruiser,2014
28847,"6,999",SUPER TENERE,Yamaha Dual Sport,2012
5340,"5,499",V STAR 950 BASE,Yamaha Cruiser,2012
7001,"4,950",V STAR 950 TOURER,Yamaha Cruiser,2010
15311,"5,800",V STAR 1300 TOURER,Yamaha Cruiser,2008
25741,"5,488",V STAR 1300 BASE,Yamaha Cruiser,2007
22647,"5,390",V-STAR 1300,Yamaha Touring,2007
37015,"5,000",ROAD STAR WARRIOR XV1700A,Yamaha Custom,2004
36215,"4,925",V STAR 1100 CUSTOM,Yamaha Cruiser,2004
5,"9,799",MT-09,Yamaha Sportbike,2023
10,"9,000",YZF R7,Yamaha Sportbike,2022
3701,"16,000",SUPER TENERE XT1200ES,Yamaha Dual Sport,2022
2,"4,599",MT-03,Yamaha Sportbike,2021
3259,"4,250",MT 03,Yamaha Sport Touring,2021
7358,"16,797",YZF-R1,Yamaha Sportbike,2021
13189,"5,499",SCR950,Yamaha Standard,2017
18195,"17,999",R1M,Yamaha Sportbike,2016
13007,"15,999",FJR 1300ES,Yamaha Sport Touring,2016
16095,"4,250",FZ6,Yamaha Sportbike,2009
18968,"7,000",XS650,Yamaha Custom,1981
5,"11,499",MT-09 SP,Yamaha Sportbike,2023
2,"4,799",MT-03,Yamaha Standard,2022
2,"7,899",MT-07,Yamaha Standard,2022
14471,"13,995",SUPER TENERE ES,Yamaha Cruiser,2011
10131,"9,390",MT-09,Yamaha Standard,2019
8315,"7,999",XSR900,Yamaha Sportbike,2019
3962,"12,499",YZF R6,Yamaha Sportbike,2019
37981,"11,500",SUPER TENERE ES,Yamaha Dual Sport,2018
9347,"17,995",STAR ELUDER,Yamaha Sport Touring,2018
2338,"7,988",MT07,Yamaha Sportbike,2018
17220,"6,250",FZ-07,Yamaha Standard,2017
43225,"6,000",FJR 1300 A,Yamaha Sport Touring,2013
61155,"7,250",SUPER TENERE XT1200Z,Yamaha Dual Sport,2013
3518,"6,500",V STAR 1300 CLASSIC,Yamaha Cruiser,2012
24720,"8,495",ROAD STAR SILVERADO,Yamaha Touring,2012
12495,"7,995",STRATOLINER DELUXE,Yamaha Cruiser,2019
37060,"7,999",YZF R1,Yamaha Sportbike,2007
22318,"3,100",V STAR 650 CLASSIC,Yamaha Cruiser,2006
68236,"2,495",MAJESTY 400,Yamaha Scooter,2005
5,"14,199",MT-10,Yamaha Sportbike,2023
2,"9,199",YZF-R7,Yamaha Custom,2023
5913,"10,998",YZF-R7,Yamaha Sportbike,2022
341,"7,000",XMAX BASE,Yamaha Scooter,2012
2816,"21,000",YZF R1 WORLD GP 60TH ANNIVERSARY EDITION,Yamaha Sportbike,2012
2,"14,899",TRACER 9 GT CA,Yamaha Sport Touring,2021
177,"7,200",YZ 250F,Yamaha Dirt Bike,2021
76,"8,995",WR250R,Yamaha Sportbike,2020
66112,"14,998",VENTURE,Yamaha Cruiser,2018
18908,"7,693",MT-07,Yamaha Standard,2018
14928,"5,698",BOLT C-SPEC,Yamaha Cruiser,2015
7242,"13,500",YZF R6,Yamaha Sportbike,2014
8616,"4,668",XVS95BR BASE,Yamaha Cruiser,2012
25428,"7,700",YZF R6,Yamaha Sportbike,2012
32618,"4,568",V STAR® 1300 BASE,Yamaha Cruiser,2009
28968,"5,800",ROYAL STAR VENTURE S,Yamaha Cruiser,2011
2,"4,899",YZ85,Yamaha Mx,2023
5,"4,999",MT-03,Yamaha Sportbike,2023
2,"4,499",TT-R230,Yamaha Dirt Bike,2023
2,"18,299",FJR 1300 ES 1300ES,Yamaha Touring,2023
5,"8,199",MT-07 CA,Yamaha Sportbike,2023
5,"9,199",YZF-R7,Yamaha Sportbike,2023
2,"9,199",YZF-R7 CA,Yamaha Sportbike,2023
2,"14,995",SUPER TENERE ES,Yamaha Dual Sport,2023
17064,"10,999",TENERE 700,Yamaha Dual Sport,2022
6597,"9,500",MT 09,Yamaha Standard,2022
3058,"18,400",YZF R1 WORLD GP 60TH ANNIVERSARY EDITION,Yamaha Sportbike,2012
2,"15,329",TRACER 9 GT,Yamaha Touring,2021
4398,"7,000",FZ-09,Yamaha Sportbike,2015
18506,"5,999",BOLT C-SPEC,Yamaha Cruiser,2015
23514,"6,290",BOLT R-SPEC,Yamaha Cruiser,2015
24848,"8,500",V STAR 950 TOURER,Yamaha Cruiser,2015
32831,"5,195",V STAR 1300,Yamaha Touring,2014
12653,"11,700",ROADLINER S,Yamaha Cruiser,2014
14162,"8,400",RAIDER BASE,Yamaha Cruiser,2013
8277,"5,290",V-STAR 950,Yamaha Cruiser,2009
21242,"3,600",V STAR 650 CUSTOM,Yamaha Cruiser,2008
70114,"3,490",V-STAR 1100 CUSTOM,Yamaha Cruiser,2007
45062,"5,950",STRATOLINER,Yamaha Touring,2017
5713,"11,500",YZF R7 WORLD GP 60TH ANNIVERSARY EDITION,Yamaha Sportbike,2012
2,"14,999",TRACER 9 GT,Yamaha Touring,2022
18015,"11,999",NIKEN,Yamaha Sportbike,2019
6920,"8,999",MT 09,Yamaha Standard,2019
2401,"5,499",SCR950,Yamaha Standard,2017
1287,"9,999",WR450F,Yamaha Dual Sport,2017
10932,"7,500",FJ-09,Yamaha Sport Touring,2015
15128,"7,390",FZ8,Yamaha Sportbike,2013
5515,"6,750",FZ8,Yamaha Sportbike,2013
22035,"9,500",RAIDER S,Yamaha Cruiser,2012
125529,"5,000",FJ1300,Yamaha Sport Touring,2011
25244,"6,500",STRYKER XVS1300CT,Yamaha Cruiser,2011
41843,"4,000",V STAR 1300 BASE,Yamaha Touring,2007
21887,"3,900",ROAD STAR,Yamaha Cruiser,2015
4727,"2,000",XT225,Yamaha Dual Sport,1993
2,"5,499",YZF-R3 ABS,Yamaha Standard,2023
2,"3,699",ZUMA 125,Yamaha Scooter,2022
163,"9,800",YZF R7,Yamaha Sportbike,2022
1246,"4,598",YZF-R3 MONSTER ENERGY YAMAHA MOTOGP EDITION,Yamaha Sportbike,2021
6078,"12,999",MT 10,Yamaha Sport Touring,2018
8248,"16,500",STAR VENTURE XV1900FD,Yamaha Touring,2018
19312,"17,200",YZF R1,Yamaha Sportbike,2018
7081,"6,000",BOLT R-SPEC,Yamaha Cruiser,2014
29293,"5,999",V STAR® 950 TOURER,Yamaha Touring,2014
67889,"7,488",ROYAL STAR VENTURE S,Yamaha Touring,2013
48280,"8,500",FJ1300,Yamaha Sport Touring,2013
3500,"9,000",RS,Yamaha Sportbike,2019
20976,"4,000",V STAR 650 CLASSIC,Yamaha Cruiser,2009
16576,"4,000",V STAR 1300 TOURER,Yamaha Cruiser,2009
79341,"4,700",FJR 1300 A,Yamaha Sport Touring,2007
25750,"4,500",1100,Yamaha Cruiser,2007
7566,"10,500",YZF R1 50TH ANNIVERSARY,Yamaha Sportbike,2016
10055,"6,000",ROAD STAR WARRIOR,Yamaha Cruiser,2012
2414,"1,700",XS650,Yamaha Sportbike,1982
2,"8,899",XSR700,Yamaha Sportbike,2023
644,"11,000",TENERE 700,Yamaha Dual Sport,2022
14605,"13,900",FJR1300ES 1300 ES,Yamaha Touring,2011
4023,"11,499",YZF R6,Yamaha Sportbike,2020
48,"3,995",YZ 85,Yamaha Dirt Bike,2020
21288,"7,999",MT-07,Yamaha Sportbike,2019
4828,"13,500",YZF R6,Yamaha Sportbike,2019
25939,"18,999",STAR ELUDER,Yamaha Touring,2018
3064,"5,999",XMAX,Yamaha Scooter,2018
5150,"15,000",FZR1000,Yamaha Super Moto,2016
7162,"10,000",TMAX 500,Yamaha Scooter,2016
17271,"13,999",YZF-R1S,Yamaha Sportbike,2016
40837,"6,999",ROAD STAR S,Yamaha Touring,2014
6437,"11,000",RAIDER SCL,Yamaha Cruiser,2014
25750,"5,500",FZR600,Yamaha Sport Touring,2013
13773,"3,899",V STAR 650 CUSTOM,Yamaha Cruiser,2013
36674,"2,995",V STAR 1100 XVS1100,Yamaha Cruiser,2014
161,"5,400",450,Yamaha Dirt Bike,2003
32187,"4,000",V STAR 650 CUSTOM,Yamaha Classic / Vintage,1998
6354,"3,500",XS650,Yamaha Classic / Vintage,1975
2,"1,749",TT-R50E,Yamaha Dirt Bike,2023
2,"17,999",YZF-R1,Yamaha Sportbike,2023
2,"8,495",XSR700,Yamaha Sportbike,2022
2,"14,999",TRACER 9 GT,Yamaha Touring,2022
15006,"13,900",FJR1300 ES CA * 1300ES,Yamaha Touring,2011
129,"7,488",YZ450F,Yamaha Standard,2020
5644,"13,500",FJR 1300,Yamaha Sport Touring,2020
13623,"11,500",MT 10,Yamaha Sportbike,2020
9036,"14,970",R1 YZF-R1 YZFR1 1000 YZF R1 R1 YZF-R1,Yamaha Sportbike,2016
16653,"6,588",FJ-09,Yamaha Standard,2015
31382,"5,800",FZ-07 ABS,Yamaha Sportbike,2015
6198,"7,450",V STAR 950 TOURER,Yamaha Cruiser,2014
