Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
8,"5,799",RC 390,KTM Sportbike,2022
563,"11,995",350 EXC-F,Dual Sport,2020
22853,"4,350",390 DUKE,KTM Sportbike,2017
8,"12,549",500 EXC-F,Dual Sport,2023
19,"9,150",FREERIDE E-XC,KTM Sportbike,2022
3154,"4,998",ADVENTURE 390,Sport Touring,2020
28968,"13,500",1090 ADVENTURE R,Dual Sport,2018
26050,"13,999",1290 SUPER ADVENTURE,Sport Touring,2016
12732,"11,500",1190 ADVENTURE R,Dual Sport,2015
13296,"6,000",690 DUKE,KTM Sportbike,2014
5485,"4,400",450 XCF-W,Dirt Bike,2008
19718,"6,990",990 ADVENTURE,Dual Sport,2007
2,"9,199",350 SX-F,KTM Mx,2023
2,"9,299",250 XC,Dirt Bike,2023
2,"6,749",125 XC,Dirt Bike,2023
31,"9,390",300 XC TPI,Dirt Bike,2022
2,"5,799",390 ADVENTURE,KTM Standard,2022
3,"4,799",RC390,KTM Cruiser,2022
2,"9,999",890 DUKE GP,KTM Sportbike,2022
12875,"11,500",790 ADVENTURE R,Sport Touring,2020
18507,"6,200",790 DUKE,KTM Standard,2019
752,"16,000",SUPER ADVENTURE 1290 R,Dual Sport,2018
6276,"7,500",500 EXC-F,Dual Sport,2018
5322,"12,987",1090 ADVENTURE R,KTM Standard,2018
4094,"10,800",1090 ADVENTURE R,Dual Sport,2017
354,"8,500",350 EXC-F,Dual Sport,2012
8,"10,500",350 EXC-F,Dirt Bike,2023
5,"8,994",EXC-F 350 350 F,Dirt Bike,2023
8,"15,199",890 ADVENTURE R,Dirt Bike,2023
2,"7,988",450 SX-F,Dirt Bike,2023
1733,"13,999",1290 SUPER DUKE R,KTM Sportbike,2018
1479,"5,000",250 250,Dirt Bike,2016
2,"11,299",890 DUKE,KTM Standard,2022
153,"7,499",250 SX F SX-F,KTM Competition,2022
3862,"20,000",SUPER DUKE 1290 R EVO,Super Moto,2022
644,"10,000",500 EXC-F,Dual Sport,2020
16576,"4,500",RC 390,KTM Sportbike,2017
4828,"7,700",300 XC-W SIX DAYS,Dirt Bike,2017
1426,"10,999",1190 ADVENTURE,KTM Sportbike,2015
2,"7,700",250 SX-F,Dirt Bike,2023
8,"12,999",690 SMC R ENDURO R,KTM Sportbike,2023
16,"12,949",890 DUKE R,KTM Sportbike,2023
2,"8,588",450 XC-F,Dirt Bike,2023
24,"7,399",390 ADVENTURE,Dirt Bike,2023
8,"12,949",890 DUKE R,KTM Sportbike,2023
2,"10,999",500 EXC-F,Dirt Bike,2023
2,"11,399",350 XC-F,Dirt Bike,2023
2,"8,499",250 SX-F,Dirt Bike,2023
2,"7,399",390 ADVENTURE,Dirt Bike,2023
